csv name,Generator,Algorithm,Time,Memory used,Numbers sorted,min val,max val,issorted

B1.csv,almostsorted,quicksort,0.1130673885345459,disabled,10000,0,11000,True



B1.csv,almostsorted,radixsort,0.059468984603881836,disabled,10000,0,11000,True





B2.csv,almostsorted,heapsort,0.29857945442199707,disabled,20000,0,22000,True



B2.csv,almostsorted,bubblesort,62.663494348526,disabled,20000,0,22000,True



B2.csv,almostsorted,bucketsort2,0.027943849563598633,disabled,20000,0,22000,True



B2.csv,almostsorted,countingsort,0.017952442169189453,disabled,20000,0,22000,True



B2.csv,almostsorted,selectionsort,62.27579593658447,disabled,20000,0,22000,True



B2.csv,almostsorted,insertionsort,0.019967079162597656,disabled,20000,0,22000,True



B2.csv,almostsorted,mergesort,0.19142818450927734,disabled,20000,0,22000,True



B2.csv,almostsorted,quicksort,0.23306584358215332,disabled,20000,0,22000,True



